Invoice_ID,Date,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5pct,Total,COGS,Gross_Margin_pct,Gross_Income,Payment,Rating
INV-00001,2026-01-07,B,Indore,Normal,Female,Fashion accessories,58.95,4.0,11.79,247.61,126.19,44.28,109.63,Ewallet,6.9
INV-00002,2026-06-23,C,Jabalpur,Member,Male,Fashion accessories,55.91,2.0,5.59,117.4,86.34,21.7,25.47,Ewallet,8.3
INV-00003,2026-03-01,A,Bhopal,Member,Female,Food and beverages,32.43,3.0,4.86,102.15,63.86,32.72,33.42,Credit card,7.7
INV-00004,2026-04-18,C,Jabalpur,Normal,Male,Electronic accessories,30.85,4.0,6.17,129.57,78.8,34.42,44.6,Credit card,6.5
INV-00005,2026-07-26,A,Bhopal,Normal,Male,Electronic accessories,46.19,3.0,6.93,145.49,93.94,30.67,44.62,Ewallet,7.8
INV-00006,2026-07-15,A,Bhopal,Member,Female,Home and lifestyle,49.6,4.0,9.92,208.31,128.7,33.45,69.68,Ewallet,8.2
INV-00007,2026-03-30,B,Indore,Normal,Female,Food and beverages,50.52,4.0,10.1,212.17,156.01,21.71,46.05,Credit card,5.7
INV-00008,2026-08-25,B,Indore,Member,Male,Sports and travel,66.06,3.0,9.91,208.09,105.39,44.59,92.8,Credit card,8.1
INV-00009,2026-08-09,B,Indore,Member,Female,Home and lifestyle,43.87,5.0,10.97,230.33,122.11,42.22,97.26,Ewallet,5.3
INV-00010,2026-03-16,A,Bhopal,Member,Female,Health and beauty,56.15,4.0,11.23,235.83,123.56,42.85,101.04,Cash,8.1
INV-00011,2026-08-02,B,Indore,Member,Male,Home and lifestyle,62.64,3.0,9.4,197.31,113.6,37.66,74.31,Ewallet,8.2
INV-00012,2026-06-29,B,Indore,Member,Female,Fashion accessories,63.38,6.0,19.01,399.26,273.95,26.62,106.3,Cash,8.7
INV-00013,2026-04-29,A,Bhopal,Normal,Female,Sports and travel,110.21,2.0,11.02,231.45,120.8,43.04,99.62,Cash,6.0
INV-00014,2026-07-18,C,Jabalpur,Member,Female,Health and beauty,49.22,5.0,12.3,258.4,176.31,27.01,69.78,Credit card,6.8
INV-00015,2026-01-17,B,Indore,Normal,Female,Electronic accessories,43.68,10.0,21.84,458.65,239.64,42.99,197.17,Cash,6.5
INV-00016,2026-08-23,B,Indore,Normal,Female,Fashion accessories,46.51,3.0,6.98,146.51,91.09,33.07,48.45,Ewallet,5.4
INV-00017,2026-05-24,A,Bhopal,Normal,Male,Food and beverages,19.18,4.0,3.84,80.58,50.26,32.87,26.48,Credit card,6.6
INV-00018,2026-02-26,B,Indore,Normal,Female,Electronic accessories,41.8,6.0,12.54,263.32,132.81,44.8,117.97,Credit card,8.7
INV-00019,2026-02-09,C,Jabalpur,Member,Male,Fashion accessories,52.84,2.0,5.28,110.97,79.91,23.22,25.77,Cash,9.9
INV-00020,2026-06-02,B,Indore,Normal,Female,Sports and travel,54.95,6.0,16.49,346.21,233.89,27.68,95.84,Cash,6.6
INV-00021,2026-08-15,A,Bhopal,Normal,Male,Food and beverages,58.64,5.0,14.66,307.86,166.68,41.1,126.52,Ewallet,5.5
INV-00022,2026-04-27,B,Indore,Normal,Female,Health and beauty,49.4,2.0,4.94,103.73,64.52,33.03,34.27,Cash,6.5
INV-00023,2026-06-10,A,Bhopal,Member,Female,Home and lifestyle,67.09,5.0,16.77,352.21,204.17,37.27,131.26,Ewallet,5.7
INV-00024,2026-07-19,A,Bhopal,Member,Male,Food and beverages,34.01,6.0,10.2,214.24,153.69,23.5,50.34,Cash,7.7
INV-00025,2026-04-03,A,Bhopal,Member,Female,Home and lifestyle,61.64,8.0,24.66,517.76,277.14,41.71,215.97,Ewallet,8.0
INV-00026,2026-01-21,B,Indore,Normal,Female,Health and beauty,51.17,1.0,2.56,53.73,27.96,43.2,23.21,Credit card,
INV-00027,2026-02-02,B,Indore,Normal,Female,Electronic accessories,57.45,5.0,14.36,301.6,173.67,37.66,113.57,Ewallet,5.7
INV-00028,2026-04-19,C,Jabalpur,Member,Male,Electronic accessories,65.78,5.0,16.44,345.34,193.71,39.15,135.19,Cash,8.6
INV-00029,2026-04-06,B,Indore,Normal,Female,Sports and travel,75.3,6.0,22.59,474.4,319.81,27.82,132.0,Ewallet,6.8
INV-00030,2026-01-06,A,Bhopal,Member,Female,Food and beverages,24.01,5.0,6.0,126.04,91.39,22.73,28.65,Ewallet,7.7
INV-00031,2026-01-16,C,Jabalpur,Member,Female,Electronic accessories,61.63,7.0,21.57,452.95,286.77,31.93,144.61,Credit card,7.0
INV-00032,2026-03-02,A,Bhopal,Normal,Female,Home and lifestyle,60.42,5.0,15.11,317.23,197.82,32.88,104.3,Cash,7.5
INV-00033,2026-08-14,C,Jabalpur,Normal,Female,Food and beverages,44.01,9.0,19.8,415.89,257.61,33.3,138.47,Credit card,7.7
INV-00034,2026-02-18,C,Jabalpur,Member,Male,Health and beauty,55.99,6.0,16.8,352.75,225.21,31.39,110.75,Ewallet,8.4
INV-00035,2026-08-10,B,Indore,Member,Female,Fashion accessories,51.45,4.0,10.29,216.07,109.0,44.79,96.78,Ewallet,6.5
INV-00036,2026-07-24,C,Jabalpur,Member,Female,Health and beauty,41.39,4.0,8.28,173.85,112.91,30.29,52.66,Ewallet,8.4
INV-00037,2026-04-19,B,Indore,Normal,Male,Electronic accessories,88.45,7.0,30.96,650.08,392.61,34.84,226.52,Ewallet,9.2
INV-00038,2026-04-24,C,Jabalpur,Member,Female,Food and beverages,28.19,3.0,4.23,88.81,56.06,32.11,28.52,Cash,9.0
INV-00039,2026-01-04,B,Indore,Member,Female,Health and beauty,61.24,7.0,21.43,450.08,262.57,36.9,166.08,Cash,8.6
INV-00040,2026-08-10,B,Indore,Member,Female,Sports and travel,59.68,4.0,11.94,250.64,151.05,34.97,87.65,Ewallet,9.3
INV-00041,2026-03-09,C,Jabalpur,Normal,Male,Sports and travel,85.85,3.0,12.88,270.44,175.84,30.22,81.72,Credit card,5.5
INV-00042,2026-07-20,C,Jabalpur,Normal,Female,Food and beverages,55.28,3.0,8.29,174.15,113.95,29.81,51.91,Ewallet,7.1
INV-00043,2026-01-15,A,Bhopal,Member,Male,Food and beverages,39.98,8.0,15.99,335.81,246.23,21.91,73.59,Ewallet,6.7
INV-00044,2026-05-09,B,Indore,Member,Female,Food and beverages,32.19,3.0,4.83,101.4,70.67,25.55,25.9,Credit card,7.3
INV-00045,2026-02-17,A,Bhopal,Member,Female,Health and beauty,39.29,7.0,13.75,288.77,196.68,27.13,78.34,Cash,6.7
INV-00046,2026-05-26,C,Jabalpur,Member,Female,Electronic accessories,29.97,8.0,11.99,251.77,180.95,23.37,58.83,Cash,5.7
INV-00047,2026-05-14,B,Indore,Normal,Female,Home and lifestyle,76.28,4.0,15.26,320.36,230.48,23.3,74.63,Cash,7.1
INV-00048,2026-03-09,A,Bhopal,Member,Male,Sports and travel,59.21,7.0,20.72,435.16,287.97,29.06,126.46,Cash,6.4
INV-00049,2026-08-28,C,Jabalpur,Member,Male,Health and beauty,58.79,4.0,11.76,246.92,155.88,32.11,79.28,Cash,7.9
INV-00050,2026-01-26,B,Indore,Member,Male,Health and beauty,61.65,3.0,9.25,194.2,132.8,26.86,52.16,Ewallet,6.9
INV-00051,2026-01-18,B,Indore,Normal,Male,Electronic accessories,43.49,3.0,6.52,136.99,95.72,25.36,34.75,Ewallet,7.4
INV-00052,2026-06-30,C,Jabalpur,Member,Male,Home and lifestyle,51.41,4.0,10.28,215.9,150.38,25.59,55.24,Credit card,7.4
INV-00053,2026-08-13,A,Bhopal,Normal,Female,Electronic accessories,45.7,4.0,9.14,191.94,138.14,23.27,44.67,Credit card,8.7
INV-00054,2026-02-09,C,Jabalpur,Normal,Female,Home and lifestyle,57.73,1.0,2.89,60.62,37.06,34.11,20.68,Credit card,5.9
INV-00055,2026-06-12,A,Bhopal,Normal,Male,Home and lifestyle,62.52,7.0,21.88,459.51,337.16,21.86,100.46,Credit card,6.1
INV-00056,2026-01-24,C,Jabalpur,Normal,Male,Fashion accessories,55.14,,13.78,289.47,193.23,28.49,82.46,Ewallet,7.1
INV-00057,2026-02-03,A,Bhopal,Normal,Female,Fashion accessories,82.14,4.0,16.43,345.01,252.05,22.18,76.52,Credit card,6.2
INV-00058,2026-04-20,B,Indore,Member,Female,Food and beverages,37.45,4.0,7.49,157.28,91.65,36.96,58.14,Ewallet,8.2
INV-00059,2026-08-20,C,Jabalpur,Member,Male,Electronic accessories,44.37,8.0,17.75,372.73,268.66,23.16,86.32,Cash,7.3
INV-00060,2026-02-02,A,Bhopal,Normal,Male,Health and beauty,58.39,4.0,11.68,245.23,123.05,45.06,110.5,Credit card,8.8
INV-00061,2026-08-09,C,Jabalpur,Normal,Female,Health and beauty,64.51,8.0,25.8,541.9,324.03,35.44,192.06,Cash,6.6
INV-00062,2026-04-01,B,Indore,Normal,Female,Food and beverages,37.48,10.0,18.74,393.53,287.86,22.09,86.93,Credit card,7.0
INV-00063,2026-02-11,A,Bhopal,Normal,Female,Electronic accessories,35.84,4.0,7.17,150.53,99.58,29.08,43.78,Ewallet,7.7
INV-00064,2026-07-20,C,Jabalpur,Member,Male,Sports and travel,84.72,7.0,29.65,622.66,312.8,45.0,280.21,Ewallet,7.2
INV-00065,2026-04-08,C,Jabalpur,Normal,Female,Health and beauty,57.04,4.0,11.41,239.55,139.43,37.03,88.71,Ewallet,8.7
INV-00066,2026-03-31,C,Jabalpur,Member,Female,Home and lifestyle,33.77,7.0,11.82,248.19,175.91,24.36,60.46,Ewallet,8.8
INV-00067,2026-03-26,A,Bhopal,Member,Male,Home and lifestyle,57.79,6.0,17.34,364.1,201.97,39.77,144.8,Ewallet,8.0
INV-00068,2026-06-23,B,Indore,Normal,Female,Food and beverages,44.13,5.0,11.03,231.69,124.63,41.45,96.03,Ewallet,6.0
INV-00069,2026-02-15,C,Jabalpur,Normal,Female,Food and beverages,31.58,2.0,3.16,66.31,34.82,42.73,28.33,Ewallet,6.2
INV-00070,2026-07-06,B,Indore,Normal,Female,Home and lifestyle,37.92,4.0,7.58,159.28,110.41,25.92,41.28,Cash,6.9
INV-00071,2026-03-07,B,Indore,Normal,Female,Health and beauty,38.2,4.0,7.64,160.46,111.5,25.75,41.32,Cash,7.3
INV-00072,2026-06-25,C,Jabalpur,Member,Male,Fashion accessories,41.69,5.0,10.42,218.87,133.46,34.26,74.99,Cash,7.8
INV-00073,2026-08-24,C,Jabalpur,Normal,Female,Home and lifestyle,69.92,5.0,17.48,367.08,230.2,32.53,119.39,Credit card,6.0
INV-00074,2026-03-21,A,Bhopal,Normal,Male,Fashion accessories,40.65,2.0,4.07,85.37,49.09,37.74,32.22,Cash,6.1
INV-00075,2026-02-02,A,Bhopal,Normal,Male,Electronic accessories,45.95,6.0,13.78,289.47,149.59,43.56,126.1,Cash,5.9
INV-00076,2026-06-07,C,Jabalpur,Normal,Male,Food and beverages,72.24,4.0,14.45,303.41,177.54,36.72,111.42,Cash,8.3
INV-00077,2026-03-15,A,Bhopal,Normal,Male,Electronic accessories,67.97,5.0,16.99,356.82,190.22,41.93,149.61,Cash,9.3
INV-00078,2026-02-24,B,Indore,Normal,Female,Food and beverages,29.89,3.0,4.48,94.16,67.54,23.51,22.13,Cash,6.5
INV-00079,2026-06-19,A,Bhopal,Normal,Female,Fashion accessories,52.68,4.0,10.54,221.25,162.69,21.71,48.03,Credit card,6.1
INV-00080,2026-06-22,C,Jabalpur,Member,Female,Home and lifestyle,61.32,5.0,15.33,321.94,205.01,31.56,101.61,Ewallet,7.4
INV-00081,2026-05-02,A,Bhopal,Member,Male,Food and beverages,52.06,4.0,10.41,218.66,121.41,39.71,86.83,Cash,6.2
INV-00082,2026-02-19,B,Indore,Normal,Male,Fashion accessories,55.64,4.0,11.13,233.67,146.54,32.53,76.0,Cash,6.1
INV-00083,2026-06-26,A,Bhopal,Member,Male,Health and beauty,45.92,2.0,4.59,96.43,71.4,21.2,20.44,Ewallet,6.6
INV-00084,2026-06-28,C,Jabalpur,Normal,Female,Food and beverages,53.09,6.0,15.93,334.46,194.53,37.08,124.0,Cash,6.4
INV-00085,2026-02-01,C,Jabalpur,Member,Male,Sports and travel,65.38,2.0,6.54,137.29,93.19,27.36,37.57,Cash,7.2
INV-00086,2026-06-02,C,Jabalpur,Normal,Male,Home and lifestyle,74.35,4.0,14.87,312.27,167.35,41.65,130.05,Credit card,7.4
INV-00087,2026-08-18,B,Indore,Normal,Male,Electronic accessories,62.61,7.0,21.91,460.17,280.62,34.26,157.64,Ewallet,8.3
INV-00088,2026-06-13,A,Bhopal,Normal,Female,Home and lifestyle,72.72,7.0,25.45,534.51,280.18,42.82,228.87,Ewallet,6.1
INV-00089,2026-03-15,A,Bhopal,Normal,Male,Electronic accessories,57.31,5.0,14.33,300.89,215.61,23.58,70.95,Ewallet,7.8
INV-00090,2026-02-05,B,Indore,Member,Male,Electronic accessories,48.18,4.0,9.64,202.34,128.76,31.6,63.95,Credit card,7.6
INV-00091,2026-01-17,C,Jabalpur,Normal,Male,Sports and travel,69.71,5.0,17.43,365.96,217.24,35.88,131.29,Cash,7.5
INV-00092,2026-02-22,B,Indore,Normal,Female,Sports and travel,56.78,7.0,19.87,417.33,242.4,37.15,155.06,Credit card,7.5
INV-00093,2026-04-08,C,Jabalpur,Member,Male,Sports and travel,38.1,6.0,11.43,240.02,119.94,45.27,108.65,Ewallet,8.8
INV-00094,2026-08-17,B,Indore,Member,Male,Sports and travel,87.95,6.0,26.39,554.09,375.45,27.48,152.25,Ewallet,7.8
INV-00095,2026-01-08,B,Indore,Normal,Male,Sports and travel,49.15,8.0,19.66,412.82,210.04,44.36,183.12,Credit card,7.0
INV-00096,2026-08-24,C,Jabalpur,Member,Male,Electronic accessories,69.99,1.0,3.5,73.49,42.47,37.46,27.53,Cash,6.4
INV-00097,2026-01-22,B,Indore,Normal,Female,Fashion accessories,63.93,6.0,19.18,402.77,244.59,34.51,139.0,Credit card,4.4
INV-00098,2026-03-08,A,Bhopal,Normal,Female,Sports and travel,59.56,7.0,20.85,437.76,288.72,29.28,128.19,Cash,6.8
INV-00099,2026-08-14,A,Bhopal,Normal,Male,Sports and travel,59.24,5.0,14.81,310.99,211.76,27.14,84.41,Ewallet,5.8
INV-00100,2026-01-05,A,Bhopal,Member,Male,Fashion accessories,54.77,3.0,8.22,172.54,105.61,34.03,58.71,Ewallet,6.9
INV-00101,2026-06-16,A,Bhopal,Member,Female,Health and beauty,180.0,10.0,11.41,239.53,127.83,41.87,100.29,Ewallet,7.2
INV-00102,2026-02-09,A,Bhopal,Member,Male,Electronic accessories,175.0,10.0,17.72,372.06,198.65,41.85,155.7,Cash,6.8
